gender,job,region,year,count
여,고등학생,서울동부,2007,23849
여,고등학생,부산,2007,13941
여,고등학생,대구·경북,2007,13349
여,고등학생,인천,2007,13861
여,고등학생,울산,2007,5015
여,고등학생,경기,2007,9721
여,고등학생,강원,2007,2839
여,고등학생,충북,2007,6003
여,고등학생,대전·세종·충남,2007,12297
여,고등학생,전북,2007,9266
여,고등학생,광주·전남,2007,20666
여,고등학생,경남,2007,6990
여,고등학생,제주,2007,2687
여,고등학생,대한적십자사 외,2007,1574
여,대학생,대한적십자사,2007,167997
여,대학생,서울중앙,2007,18698
여,대학생,서울서부,2007,9686
여,대학생,서울남부,2007,11801
여,대학생,서울동부,2007,15781
여,대학생,부산,2007,15276
여,대학생,대구·경북,2007,18185
여,대학생,인천,2007,7557
여,대학생,울산,2007,4399
여,대학생,경기,2007,7421
여,대학생,강원,2007,4035
여,대학생,충북,2007,5646
여,대학생,대전·세종·충남,2007,12578
여,대학생,전북,2007,9744
여,대학생,광주·전남,2007,19963
여,대학생,경남,2007,5593
여,대학생,제주,2007,1634
여,대학생,대한적십자사 외,2007,5212
여,군인,대한적십자사,2007,1067
여,군인,서울중앙,2007,157
여,군인,서울서부,2007,52
여,군인,서울남부,2007,127
여,군인,서울동부,2007,122
여,군인,부산,2007,23
여,군인,대구·경북,2007,85
여,군인,인천,2007,60
여,군인,울산,2007,1
여,군인,경기,2007,46
여,군인,강원,2007,103
여,군인,충북,2007,44
여,군인,대전·세종·충남,2007,84
